time,well,role,pressure_pa,sw,so,sg,rate_m3_s,x,y,z
0.0,INJ,injector,12000000,0.80,0.20,0.0,2.0e-5,10,40,15
0.0,PROD,producer,10000000,0.25,0.75,0.0,-2.0e-5,90,40,15
0.0,OBS_P1,observer_p,11200000,,,,,40,40,15
0.0,OBS_S1,observer_s,,0.40,0.60,0.0,,60,50,15
30.0,INJ,injector,12200000,0.82,0.18,0.0,2.1e-5,10,40,15
30.0,PROD,producer,9800000,0.30,0.70,0.0,-2.1e-5,90,40,15
30.0,OBS_P1,observer_p,11100000,,,,,40,40,15
30.0,OBS_S1,observer_s,,0.45,0.55,0.0,,60,50,15
60.0,INJ,injector,12400000,0.84,0.16,0.0,2.2e-5,10,40,15
60.0,PROD,producer,9600000,0.35,0.65,0.0,-2.2e-5,90,40,15
60.0,OBS_P1,observer_p,10950000,,,,,40,40,15
60.0,OBS_S1,observer_s,,0.50,0.50,0.0,,60,50,15
90.0,INJ,injector,12500000,0.85,0.15,0.0,2.3e-5,10,40,15
90.0,PROD,producer,9400000,0.40,0.60,0.0,-2.3e-5,90,40,15
90.0,OBS_P1,observer_p,10800000,,,,,40,40,15
90.0,OBS_S1,observer_s,,0.55,0.45,0.0,,60,50,15
