time_s,sensor,kind,value,sigma,holdout
0,Pch_in,pressure,154081.84,2000,0
100,Pch_in,pressure,130856.38,2000,0
200,Pch_in,pressure,136344.24,2000,0
300,Pch_in,pressure,131417.02,2000,0
400,Pch_in,pressure,128083.92,2000,0
500,Pch_in,pressure,126204.66,2000,0
600,Pch_in,pressure,121645.87,2000,0
700,Pch_in,pressure,124646.19,2000,0
0,Pch_out,pressure,148269.57,2000,0
100,Pch_out,pressure,121204.46,2000,0
200,Pch_out,pressure,116051.96,2000,0
300,Pch_out,pressure,115166.33,2000,0
400,Pch_out,pressure,113216.1,2000,0
500,Pch_out,pressure,110906.28,2000,0
600,Pch_out,pressure,109489.39,2000,0
700,Pch_out,pressure,110413.56,2000,0
0,Pmx_in,pressure,150963.89,2000,0
100,Pmx_in,pressure,131982.98,2000,0
200,Pmx_in,pressure,134454.3,2000,0
300,Pmx_in,pressure,129770.9,2000,0
400,Pmx_in,pressure,126902.73,2000,0
500,Pmx_in,pressure,127717.71,2000,0
600,Pmx_in,pressure,124818.46,2000,0
700,Pmx_in,pressure,122182,2000,0
0,Pmx_out,pressure,149634.32,2000,1
100,Pmx_out,pressure,118679.12,2000,1
200,Pmx_out,pressure,122282.01,2000,1
300,Pmx_out,pressure,117584.86,2000,1
400,Pmx_out,pressure,115431.84,2000,1
500,Pmx_out,pressure,116258.14,2000,1
600,Pmx_out,pressure,111786.05,2000,1
700,Pmx_out,pressure,112542.05,2000,1
0,Sch,saturation,0.23530156,0.04,1
100,Sch,saturation,0.27876707,0.04,1
200,Sch,saturation,0.42955268,0.04,1
300,Sch,saturation,0.50552312,0.04,1
400,Sch,saturation,0.38440655,0.04,1
500,Sch,saturation,0.54580903,0.04,1
600,Sch,saturation,0.46951458,0.04,1
700,Sch,saturation,0.44215924,0.04,1
0,Smx,saturation,0.21105783,0.04,0
100,Smx,saturation,0.2280218,0.04,0
200,Smx,saturation,0.18220945,0.04,0
300,Smx,saturation,0.15695074,0.04,0
400,Smx,saturation,0.20107414,0.04,0
500,Smx,saturation,0.19796026,0.04,0
600,Smx,saturation,0.25635791,0.04,0
700,Smx,saturation,0.23013335,0.04,0
