time,time_unit,sensor,kind,value,unit,sigma,holdout
0,min,Pch_in,pressure,154.08184,kPa,2,0
1.66666666667,min,Pch_in,pressure,130.85638,kPa,2,0
3.33333333333,min,Pch_in,pressure,136.34424,kPa,2,0
5,min,Pch_in,pressure,131.41702,kPa,2,0
6.66666666667,min,Pch_in,pressure,128.08392,kPa,2,0
8.33333333333,min,Pch_in,pressure,126.20466,kPa,2,0
10,min,Pch_in,pressure,121.64587,kPa,2,0
11.6666666667,min,Pch_in,pressure,124.64619,kPa,2,0
0,min,Pch_out,pressure,148.26957,kPa,2,0
1.66666666667,min,Pch_out,pressure,121.20446,kPa,2,0
3.33333333333,min,Pch_out,pressure,116.05196,kPa,2,0
5,min,Pch_out,pressure,115.16633,kPa,2,0
6.66666666667,min,Pch_out,pressure,113.2161,kPa,2,0
8.33333333333,min,Pch_out,pressure,110.90628,kPa,2,0
10,min,Pch_out,pressure,109.48939,kPa,2,0
11.6666666667,min,Pch_out,pressure,110.41356,kPa,2,0
0,min,Pmx_in,pressure,150.96389,kPa,2,0
1.66666666667,min,Pmx_in,pressure,131.98298,kPa,2,0
3.33333333333,min,Pmx_in,pressure,134.4543,kPa,2,0
5,min,Pmx_in,pressure,129.7709,kPa,2,0
6.66666666667,min,Pmx_in,pressure,126.90273,kPa,2,0
8.33333333333,min,Pmx_in,pressure,127.71771,kPa,2,0
10,min,Pmx_in,pressure,124.81846,kPa,2,0
11.6666666667,min,Pmx_in,pressure,122.182,kPa,2,0
0,min,Pmx_out,pressure,149.63432,kPa,2,1
1.66666666667,min,Pmx_out,pressure,118.67912,kPa,2,1
3.33333333333,min,Pmx_out,pressure,122.28201,kPa,2,1
5,min,Pmx_out,pressure,117.58486,kPa,2,1
6.66666666667,min,Pmx_out,pressure,115.43184,kPa,2,1
8.33333333333,min,Pmx_out,pressure,116.25814,kPa,2,1
10,min,Pmx_out,pressure,111.78605,kPa,2,1
11.6666666667,min,Pmx_out,pressure,112.54205,kPa,2,1
0,min,Sch,saturation,0.23530156,,0.04,1
1.66666666667,min,Sch,saturation,0.27876707,,0.04,1
3.33333333333,min,Sch,saturation,0.42955268,,0.04,1
5,min,Sch,saturation,0.50552312,,0.04,1
6.66666666667,min,Sch,saturation,0.38440655,,0.04,1
8.33333333333,min,Sch,saturation,0.54580903,,0.04,1
10,min,Sch,saturation,0.46951458,,0.04,1
11.6666666667,min,Sch,saturation,0.44215924,,0.04,1
0,min,Smx,saturation,0.21105783,,0.04,0
1.66666666667,min,Smx,saturation,0.2280218,,0.04,0
3.33333333333,min,Smx,saturation,0.18220945,,0.04,0
5,min,Smx,saturation,0.15695074,,0.04,0
6.66666666667,min,Smx,saturation,0.20107414,,0.04,0
8.33333333333,min,Smx,saturation,0.19796026,,0.04,0
10,min,Smx,saturation,0.25635791,,0.04,0
11.6666666667,min,Smx,saturation,0.23013335,,0.04,0
