time_s,sensor,well,kind,value,sigma,holdout
7.8624e+06,P1_q_oil,P1,q_oil,3.6725694e-05,1e-06,0
7.8624e+06,P2_q_oil,P2,q_oil,8.4143519e-05,1e-06,0
7.8624e+06,P3_q_oil,P3,q_oil,8.4144676e-05,1e-06,0
7.8624e+06,P4_q_oil,P4,q_oil,3.6725694e-05,1e-06,1
1.04544e+07,INJ_bhp,INJ,bhp,47625000,100000,0
1.04544e+07,P1_q_oil,P1,q_oil,0,1e-06,0
1.04544e+07,P2_q_oil,P2,q_oil,0,1e-06,0
1.04544e+07,P3_q_oil,P3,q_oil,0,1e-06,0
1.04544e+07,P4_q_oil,P4,q_oil,0,1e-06,1
1.31328e+07,INJ_bhp,INJ,bhp,47585000,100000,0
1.31328e+07,P1_q_oil,P1,q_oil,0,1e-06,0
1.31328e+07,P2_q_oil,P2,q_oil,0,1e-06,0
1.31328e+07,P3_q_oil,P3,q_oil,0,1e-06,0
1.31328e+07,P4_q_oil,P4,q_oil,0,1e-06,1
3.93984e+07,INJ_bhp,INJ,bhp,47030000,100000,0
3.93984e+07,P1_q_oil,P1,q_oil,1.5513889e-06,1e-06,0
3.93984e+07,P2_q_oil,P2,q_oil,3.2854167e-06,1e-06,0
3.93984e+07,P3_q_oil,P3,q_oil,3.2854167e-06,1e-06,0
3.93984e+07,P4_q_oil,P4,q_oil,1.5513889e-06,1e-06,1
