name,kind,x,y,z,sigma,source,layer
R_bottom_01,saturation,0.050000,0.050000,0.056667,0.04,resistivity,bottom
R_bottom_02,saturation,0.050000,0.100000,0.056667,0.04,resistivity,bottom
R_bottom_03,saturation,0.050000,0.150000,0.056667,0.04,resistivity,bottom
R_bottom_04,saturation,0.050000,0.200000,0.056667,0.04,resistivity,bottom
R_bottom_05,saturation,0.050000,0.250000,0.056667,0.04,resistivity,bottom
R_bottom_06,saturation,0.100000,0.050000,0.083333,0.04,resistivity,bottom
R_bottom_07,saturation,0.100000,0.100000,0.083333,0.04,resistivity,bottom
R_bottom_08,saturation,0.100000,0.150000,0.083333,0.04,resistivity,bottom
R_bottom_09,saturation,0.100000,0.200000,0.083333,0.04,resistivity,bottom
R_bottom_10,saturation,0.100000,0.250000,0.083333,0.04,resistivity,bottom
R_bottom_11,saturation,0.150000,0.050000,0.110000,0.04,resistivity,bottom
R_bottom_12,saturation,0.150000,0.100000,0.110000,0.04,resistivity,bottom
R_bottom_13,saturation,0.150000,0.150000,0.110000,0.04,resistivity,bottom
R_bottom_14,saturation,0.150000,0.200000,0.110000,0.04,resistivity,bottom
R_bottom_15,saturation,0.150000,0.250000,0.110000,0.04,resistivity,bottom
R_bottom_16,saturation,0.200000,0.050000,0.083333,0.04,resistivity,bottom
R_bottom_17,saturation,0.200000,0.100000,0.083333,0.04,resistivity,bottom
R_bottom_18,saturation,0.200000,0.150000,0.083333,0.04,resistivity,bottom
R_bottom_19,saturation,0.200000,0.200000,0.083333,0.04,resistivity,bottom
R_bottom_20,saturation,0.200000,0.250000,0.083333,0.04,resistivity,bottom
R_bottom_21,saturation,0.250000,0.050000,0.056667,0.04,resistivity,bottom
R_bottom_22,saturation,0.250000,0.100000,0.056667,0.04,resistivity,bottom
R_bottom_23,saturation,0.250000,0.150000,0.056667,0.04,resistivity,bottom
R_bottom_24,saturation,0.250000,0.200000,0.056667,0.04,resistivity,bottom
R_bottom_25,saturation,0.250000,0.250000,0.056667,0.04,resistivity,bottom
R_interface_26,saturation,0.050000,0.050000,0.136667,0.04,resistivity,interface
R_interface_27,saturation,0.050000,0.100000,0.136667,0.04,resistivity,interface
R_interface_28,saturation,0.050000,0.150000,0.136667,0.04,resistivity,interface
R_interface_29,saturation,0.050000,0.200000,0.136667,0.04,resistivity,interface
R_interface_30,saturation,0.050000,0.250000,0.136667,0.04,resistivity,interface
R_interface_31,saturation,0.100000,0.050000,0.163333,0.04,resistivity,interface
R_interface_32,saturation,0.100000,0.100000,0.163333,0.04,resistivity,interface
R_interface_33,saturation,0.100000,0.150000,0.163333,0.04,resistivity,interface
R_interface_34,saturation,0.100000,0.200000,0.163333,0.04,resistivity,interface
R_interface_35,saturation,0.100000,0.250000,0.163333,0.04,resistivity,interface
R_interface_36,saturation,0.150000,0.050000,0.190000,0.04,resistivity,interface
R_interface_37,saturation,0.150000,0.100000,0.190000,0.04,resistivity,interface
R_interface_38,saturation,0.150000,0.150000,0.190000,0.04,resistivity,interface
R_interface_39,saturation,0.150000,0.200000,0.190000,0.04,resistivity,interface
R_interface_40,saturation,0.150000,0.250000,0.190000,0.04,resistivity,interface
R_interface_41,saturation,0.200000,0.050000,0.163333,0.04,resistivity,interface
R_interface_42,saturation,0.200000,0.100000,0.163333,0.04,resistivity,interface
R_interface_43,saturation,0.200000,0.150000,0.163333,0.04,resistivity,interface
R_interface_44,saturation,0.200000,0.200000,0.163333,0.04,resistivity,interface
R_interface_45,saturation,0.200000,0.250000,0.163333,0.04,resistivity,interface
R_interface_46,saturation,0.250000,0.050000,0.136667,0.04,resistivity,interface
R_interface_47,saturation,0.250000,0.100000,0.136667,0.04,resistivity,interface
R_interface_48,saturation,0.250000,0.150000,0.136667,0.04,resistivity,interface
R_interface_49,saturation,0.250000,0.200000,0.136667,0.04,resistivity,interface
R_interface_50,saturation,0.250000,0.250000,0.136667,0.04,resistivity,interface
R_top_51,saturation,0.050000,0.050000,0.216667,0.04,resistivity,top
R_top_52,saturation,0.050000,0.100000,0.216667,0.04,resistivity,top
R_top_53,saturation,0.050000,0.150000,0.216667,0.04,resistivity,top
R_top_54,saturation,0.050000,0.200000,0.216667,0.04,resistivity,top
R_top_55,saturation,0.050000,0.250000,0.216667,0.04,resistivity,top
R_top_56,saturation,0.100000,0.050000,0.243333,0.04,resistivity,top
R_top_57,saturation,0.100000,0.100000,0.243333,0.04,resistivity,top
R_top_58,saturation,0.100000,0.150000,0.243333,0.04,resistivity,top
R_top_59,saturation,0.100000,0.200000,0.243333,0.04,resistivity,top
R_top_60,saturation,0.100000,0.250000,0.243333,0.04,resistivity,top
R_top_61,saturation,0.150000,0.050000,0.270000,0.04,resistivity,top
R_top_62,saturation,0.150000,0.100000,0.270000,0.04,resistivity,top
R_top_63,saturation,0.150000,0.150000,0.270000,0.04,resistivity,top
R_top_64,saturation,0.150000,0.200000,0.270000,0.04,resistivity,top
R_top_65,saturation,0.150000,0.250000,0.270000,0.04,resistivity,top
R_top_66,saturation,0.200000,0.050000,0.243333,0.04,resistivity,top
R_top_67,saturation,0.200000,0.100000,0.243333,0.04,resistivity,top
R_top_68,saturation,0.200000,0.150000,0.243333,0.04,resistivity,top
R_top_69,saturation,0.200000,0.200000,0.243333,0.04,resistivity,top
R_top_70,saturation,0.200000,0.250000,0.243333,0.04,resistivity,top
R_top_71,saturation,0.250000,0.050000,0.216667,0.04,resistivity,top
R_top_72,saturation,0.250000,0.100000,0.216667,0.04,resistivity,top
R_top_73,saturation,0.250000,0.150000,0.216667,0.04,resistivity,top
R_top_74,saturation,0.250000,0.200000,0.216667,0.04,resistivity,top
R_top_75,saturation,0.250000,0.250000,0.216667,0.04,resistivity,top
G7_01,saturation,0.075000,0.075000,0.070000,0.04,added_7p5cm,bottom
G7_02,saturation,0.075000,0.125000,0.070000,0.04,added_7p5cm,bottom
G7_03,saturation,0.075000,0.175000,0.070000,0.04,added_7p5cm,bottom
G7_04,saturation,0.075000,0.225000,0.070000,0.04,added_7p5cm,bottom
G7_05,saturation,0.125000,0.075000,0.096667,0.04,added_7p5cm,bottom
G7_06,saturation,0.125000,0.125000,0.096667,0.04,added_7p5cm,bottom
G7_07,saturation,0.125000,0.175000,0.096667,0.04,added_7p5cm,bottom
G7_08,saturation,0.125000,0.225000,0.096667,0.04,added_7p5cm,bottom
G7_09,saturation,0.175000,0.075000,0.096667,0.04,added_7p5cm,bottom
G7_10,saturation,0.175000,0.125000,0.096667,0.04,added_7p5cm,bottom
G7_11,saturation,0.175000,0.175000,0.096667,0.04,added_7p5cm,bottom
G7_12,saturation,0.175000,0.225000,0.096667,0.04,added_7p5cm,bottom
G7_13,saturation,0.225000,0.075000,0.070000,0.04,added_7p5cm,bottom
G7_14,saturation,0.225000,0.125000,0.070000,0.04,added_7p5cm,bottom
G7_15,saturation,0.225000,0.175000,0.070000,0.04,added_7p5cm,bottom
G7_16,saturation,0.225000,0.225000,0.070000,0.04,added_7p5cm,bottom
