cell,i,j,k,x_m,y_m,z_m
0,0,0,0,0.0375,0.0375,0.075
1,1,0,0,0.1125,0.0375,0.075
2,2,0,0,0.1875,0.0375,0.075
3,3,0,0,0.2625,0.0375,0.075
4,0,1,0,0.0375,0.1125,0.075
5,1,1,0,0.1125,0.1125,0.075
6,2,1,0,0.1875,0.1125,0.075
7,3,1,0,0.2625,0.1125,0.075
8,0,2,0,0.0375,0.1875,0.075
9,1,2,0,0.1125,0.1875,0.075
10,2,2,0,0.1875,0.1875,0.075
11,3,2,0,0.2625,0.1875,0.075
12,0,3,0,0.0375,0.2625,0.075
13,1,3,0,0.1125,0.2625,0.075
14,2,3,0,0.1875,0.2625,0.075
15,3,3,0,0.2625,0.2625,0.075
16,0,0,1,0.0375,0.0375,0.225
17,1,0,1,0.1125,0.0375,0.225
18,2,0,1,0.1875,0.0375,0.225
19,3,0,1,0.2625,0.0375,0.225
20,0,1,1,0.0375,0.1125,0.225
21,1,1,1,0.1125,0.1125,0.225
22,2,1,1,0.1875,0.1125,0.225
23,3,1,1,0.2625,0.1125,0.225
24,0,2,1,0.0375,0.1875,0.225
25,1,2,1,0.1125,0.1875,0.225
26,2,2,1,0.1875,0.1875,0.225
27,3,2,1,0.2625,0.1875,0.225
28,0,3,1,0.0375,0.2625,0.225
29,1,3,1,0.1125,0.2625,0.225
30,2,3,1,0.1875,0.2625,0.225
31,3,3,1,0.2625,0.2625,0.225
