cell,i,j,k,x_m,y_m,z_m
0,0,0,0,0.01,0.01,0.01
1,1,0,0,0.03,0.01,0.01
2,2,0,0,0.05,0.01,0.01
3,3,0,0,0.07,0.01,0.01
4,4,0,0,0.09,0.01,0.01
5,5,0,0,0.11,0.01,0.01
6,6,0,0,0.13,0.01,0.01
7,7,0,0,0.15,0.01,0.01
8,8,0,0,0.17,0.01,0.01
9,9,0,0,0.19,0.01,0.01
10,10,0,0,0.21,0.01,0.01
11,11,0,0,0.23,0.01,0.01
12,12,0,0,0.25,0.01,0.01
13,13,0,0,0.27,0.01,0.01
14,14,0,0,0.29,0.01,0.01
15,0,1,0,0.01,0.03,0.01
16,1,1,0,0.03,0.03,0.01
17,2,1,0,0.05,0.03,0.01
18,3,1,0,0.07,0.03,0.01
19,4,1,0,0.09,0.03,0.01
20,5,1,0,0.11,0.03,0.01
21,6,1,0,0.13,0.03,0.01
22,7,1,0,0.15,0.03,0.01
23,8,1,0,0.17,0.03,0.01
24,9,1,0,0.19,0.03,0.01
25,10,1,0,0.21,0.03,0.01
26,11,1,0,0.23,0.03,0.01
27,12,1,0,0.25,0.03,0.01
28,13,1,0,0.27,0.03,0.01
29,14,1,0,0.29,0.03,0.01
30,0,2,0,0.01,0.05,0.01
31,1,2,0,0.03,0.05,0.01
32,2,2,0,0.05,0.05,0.01
33,3,2,0,0.07,0.05,0.01
34,4,2,0,0.09,0.05,0.01
35,5,2,0,0.11,0.05,0.01
36,6,2,0,0.13,0.05,0.01
37,7,2,0,0.15,0.05,0.01
38,8,2,0,0.17,0.05,0.01
39,9,2,0,0.19,0.05,0.01
40,10,2,0,0.21,0.05,0.01
41,11,2,0,0.23,0.05,0.01
42,12,2,0,0.25,0.05,0.01
43,13,2,0,0.27,0.05,0.01
44,14,2,0,0.29,0.05,0.01
45,0,3,0,0.01,0.07,0.01
46,1,3,0,0.03,0.07,0.01
47,2,3,0,0.05,0.07,0.01
48,3,3,0,0.07,0.07,0.01
49,4,3,0,0.09,0.07,0.01
50,5,3,0,0.11,0.07,0.01
51,6,3,0,0.13,0.07,0.01
52,7,3,0,0.15,0.07,0.01
53,8,3,0,0.17,0.07,0.01
54,9,3,0,0.19,0.07,0.01
55,10,3,0,0.21,0.07,0.01
56,11,3,0,0.23,0.07,0.01
57,12,3,0,0.25,0.07,0.01
58,13,3,0,0.27,0.07,0.01
59,14,3,0,0.29,0.07,0.01
60,0,4,0,0.01,0.09,0.01
61,1,4,0,0.03,0.09,0.01
62,2,4,0,0.05,0.09,0.01
63,3,4,0,0.07,0.09,0.01
64,4,4,0,0.09,0.09,0.01
65,5,4,0,0.11,0.09,0.01
66,6,4,0,0.13,0.09,0.01
67,7,4,0,0.15,0.09,0.01
68,8,4,0,0.17,0.09,0.01
69,9,4,0,0.19,0.09,0.01
70,10,4,0,0.21,0.09,0.01
71,11,4,0,0.23,0.09,0.01
72,12,4,0,0.25,0.09,0.01
73,13,4,0,0.27,0.09,0.01
74,14,4,0,0.29,0.09,0.01
75,0,5,0,0.01,0.11,0.01
76,1,5,0,0.03,0.11,0.01
77,2,5,0,0.05,0.11,0.01
78,3,5,0,0.07,0.11,0.01
79,4,5,0,0.09,0.11,0.01
80,5,5,0,0.11,0.11,0.01
81,6,5,0,0.13,0.11,0.01
82,7,5,0,0.15,0.11,0.01
83,8,5,0,0.17,0.11,0.01
84,9,5,0,0.19,0.11,0.01
85,10,5,0,0.21,0.11,0.01
86,11,5,0,0.23,0.11,0.01
87,12,5,0,0.25,0.11,0.01
88,13,5,0,0.27,0.11,0.01
89,14,5,0,0.29,0.11,0.01
90,0,6,0,0.01,0.13,0.01
91,1,6,0,0.03,0.13,0.01
92,2,6,0,0.05,0.13,0.01
93,3,6,0,0.07,0.13,0.01
94,4,6,0,0.09,0.13,0.01
95,5,6,0,0.11,0.13,0.01
96,6,6,0,0.13,0.13,0.01
97,7,6,0,0.15,0.13,0.01
98,8,6,0,0.17,0.13,0.01
99,9,6,0,0.19,0.13,0.01
100,10,6,0,0.21,0.13,0.01
101,11,6,0,0.23,0.13,0.01
102,12,6,0,0.25,0.13,0.01
103,13,6,0,0.27,0.13,0.01
104,14,6,0,0.29,0.13,0.01
105,0,7,0,0.01,0.15,0.01
106,1,7,0,0.03,0.15,0.01
107,2,7,0,0.05,0.15,0.01
108,3,7,0,0.07,0.15,0.01
109,4,7,0,0.09,0.15,0.01
110,5,7,0,0.11,0.15,0.01
111,6,7,0,0.13,0.15,0.01
112,7,7,0,0.15,0.15,0.01
113,8,7,0,0.17,0.15,0.01
114,9,7,0,0.19,0.15,0.01
115,10,7,0,0.21,0.15,0.01
116,11,7,0,0.23,0.15,0.01
117,12,7,0,0.25,0.15,0.01
118,13,7,0,0.27,0.15,0.01
119,14,7,0,0.29,0.15,0.01
120,0,8,0,0.01,0.17,0.01
121,1,8,0,0.03,0.17,0.01
122,2,8,0,0.05,0.17,0.01
123,3,8,0,0.07,0.17,0.01
124,4,8,0,0.09,0.17,0.01
125,5,8,0,0.11,0.17,0.01
126,6,8,0,0.13,0.17,0.01
127,7,8,0,0.15,0.17,0.01
128,8,8,0,0.17,0.17,0.01
129,9,8,0,0.19,0.17,0.01
130,10,8,0,0.21,0.17,0.01
131,11,8,0,0.23,0.17,0.01
132,12,8,0,0.25,0.17,0.01
133,13,8,0,0.27,0.17,0.01
134,14,8,0,0.29,0.17,0.01
135,0,9,0,0.01,0.19,0.01
136,1,9,0,0.03,0.19,0.01
137,2,9,0,0.05,0.19,0.01
138,3,9,0,0.07,0.19,0.01
139,4,9,0,0.09,0.19,0.01
140,5,9,0,0.11,0.19,0.01
