time_s,sensor,kind,value,sigma,holdout
0.0,P001,pressure,50000000.0,2000.0,0
8.64,P001,pressure,49978287.22159091,2000.0,0
864.0,P001,pressure,49686409.06676137,2000.0,0
12096.000000000002,P001,pressure,49840904.3731534,2000.0,0
0.0,P002,pressure,50000000.0,2000.0,1
8.64,P002,pressure,49999982.38494318,2000.0,1
864.0,P002,pressure,49752487.93082386,2000.0,1
12096.000000000002,P002,pressure,49919401.79161932,2000.0,1
0.0,P003,pressure,50000000.0,2000.0,0
8.64,P003,pressure,49993770.42258523,2000.0,0
864.0,P003,pressure,49699500.05369318,2000.0,0
12096.000000000002,P003,pressure,49854497.58465909,2000.0,0
0.0,P004,pressure,50000000.0,2000.0,0
8.64,P004,pressure,49999989.64204545,2000.0,0
864.0,P004,pressure,49763586.58139204,2000.0,0
12096.000000000002,P004,pressure,49927646.562926136,2000.0,0
0.0,P005,pressure,50000000.0,2000.0,1
8.64,P005,pressure,49999982.38494319,2000.0,1
864.0,P005,pressure,49752487.930823855,2000.0,1
12096.000000000002,P005,pressure,49919401.791619316,2000.0,1
0.0,P006,pressure,50000000.0,2000.0,0
8.64,P006,pressure,50000000.0,2000.0,0
864.0,P006,pressure,49733503.396164775,2000.0,0
12096.000000000002,P006,pressure,49894587.01235795,2000.0,0
0.0,P007,pressure,50000000.0,2000.0,0
8.64,P007,pressure,49999989.64204545,2000.0,0
864.0,P007,pressure,49763586.58139204,2000.0,0
12096.000000000002,P007,pressure,49927646.562926136,2000.0,0
0.0,P008,pressure,50000000.0,2000.0,0
8.64,P008,pressure,49978287.22159091,2000.0,0
864.0,P008,pressure,49686409.066761374,2000.0,0
12096.000000000002,P008,pressure,49840904.3731534,2000.0,0
0.0,P009,pressure,50000000.0,2000.0,0
8.64,P009,pressure,49978194.36747158,2000.0,0
864.0,P009,pressure,49707302.19446023,2000.0,0
12096.000000000002,P009,pressure,49845069.62556818,2000.0,0
0.0,P010,pressure,50000000.0,2000.0,0
8.64,P010,pressure,49999989.64204545,2000.0,0
864.0,P010,pressure,49790296.76960227,2000.0,0
12096.000000000002,P010,pressure,49951812.84318181,2000.0,0
0.0,P011,pressure,50000000.0,2000.0,0
8.64,P011,pressure,50000000.0,2000.0,0
864.0,P011,pressure,49760508.72471591,2000.0,0
12096.000000000002,P011,pressure,49911089.72642046,2000.0,0
0.0,P012,pressure,50000000.0,2000.0,1
8.64,P012,pressure,49999982.38494318,2000.0,1
864.0,P012,pressure,49775898.91036931,2000.0,1
12096.000000000002,P012,pressure,49945057.84857954,2000.0,1
0.0,P013,pressure,50000000.0,2000.0,0
8.64,P013,pressure,49999989.64204545,2000.0,0
864.0,P013,pressure,49790296.76960227,2000.0,0
12096.000000000002,P013,pressure,49951812.843181804,2000.0,0
0.0,P014,pressure,50000000.0,2000.0,0
8.64,P014,pressure,49993770.422585234,2000.0,0
864.0,P014,pressure,49718612.37855113,2000.0,0
12096.000000000002,P014,pressure,49865390.70710228,2000.0,0
0.0,P015,pressure,50000000.0,2000.0,0
8.64,P015,pressure,49999982.38494319,2000.0,0
864.0,P015,pressure,49775898.910369314,2000.0,0
12096.000000000002,P015,pressure,49945057.84857954,2000.0,0
0.0,P016,pressure,50000000.0,2000.0,0
8.64,P016,pressure,49978194.36747158,2000.0,0
864.0,P016,pressure,49707302.19446023,2000.0,0
12096.000000000002,P016,pressure,49845069.62556819,2000.0,0
