sensor_id,kind,x_m,y_m,z_m,layer,i,j,k,sigma
E001,electrode,0.0500,0.0500,0.2100,layer1,3,3,5,0.03
E002,electrode,0.0900,0.0500,0.2100,layer1,5,3,5,0.03
E003,electrode,0.1500,0.0500,0.2100,layer1,8,3,5,0.03
E004,electrode,0.2100,0.0500,0.2100,layer1,11,3,5,0.03
E005,electrode,0.2500,0.0500,0.2100,layer1,13,3,5,0.03
E006,electrode,0.0500,0.0900,0.2100,layer1,3,5,5,0.03
P001,pressure,0.0900,0.0900,0.2100,layer1,5,5,5,2000.0
P002,pressure,0.1500,0.0900,0.2100,layer1,8,5,5,2000.0
P003,pressure,0.2100,0.0900,0.2100,layer1,11,5,5,2000.0
E007,electrode,0.2500,0.0900,0.2100,layer1,13,5,5,0.03
E008,electrode,0.0500,0.1500,0.2100,layer1,3,8,5,0.03
P004,pressure,0.0900,0.1500,0.2100,layer1,5,8,5,2000.0
P005,pressure,0.2100,0.1500,0.2100,layer1,11,8,5,2000.0
E009,electrode,0.2500,0.1500,0.2100,layer1,13,8,5,0.03
E010,electrode,0.0500,0.2100,0.2100,layer1,3,11,5,0.03
P006,pressure,0.0900,0.2100,0.2100,layer1,5,11,5,2000.0
P007,pressure,0.1500,0.2100,0.2100,layer1,8,11,5,2000.0
P008,pressure,0.2100,0.2100,0.2100,layer1,11,11,5,2000.0
E011,electrode,0.2500,0.2100,0.2100,layer1,13,11,5,0.03
E012,electrode,0.0500,0.2500,0.2100,layer1,3,13,5,0.03
E013,electrode,0.0900,0.2500,0.2100,layer1,5,13,5,0.03
E014,electrode,0.1500,0.2500,0.2100,layer1,8,13,5,0.03
E015,electrode,0.2100,0.2500,0.2100,layer1,11,13,5,0.03
E016,electrode,0.2500,0.2500,0.2100,layer1,13,13,5,0.03
E017,electrode,0.0500,0.0500,0.0900,layer2,3,3,11,0.03
E018,electrode,0.0900,0.0500,0.0900,layer2,5,3,11,0.03
E019,electrode,0.1500,0.0500,0.0900,layer2,8,3,11,0.03
E020,electrode,0.2100,0.0500,0.0900,layer2,11,3,11,0.03
E021,electrode,0.2500,0.0500,0.0900,layer2,13,3,11,0.03
E022,electrode,0.0500,0.0900,0.0900,layer2,3,5,11,0.03
P009,pressure,0.0900,0.0900,0.0900,layer2,5,5,11,2000.0
P010,pressure,0.1500,0.0900,0.0900,layer2,8,5,11,2000.0
P011,pressure,0.2100,0.0900,0.0900,layer2,11,5,11,2000.0
E023,electrode,0.2500,0.0900,0.0900,layer2,13,5,11,0.03
E024,electrode,0.0500,0.1500,0.0900,layer2,3,8,11,0.03
P012,pressure,0.0900,0.1500,0.0900,layer2,5,8,11,2000.0
P013,pressure,0.2100,0.1500,0.0900,layer2,11,8,11,2000.0
E025,electrode,0.2500,0.1500,0.0900,layer2,13,8,11,0.03
E026,electrode,0.0500,0.2100,0.0900,layer2,3,11,11,0.03
P014,pressure,0.0900,0.2100,0.0900,layer2,5,11,11,2000.0
P015,pressure,0.1500,0.2100,0.0900,layer2,8,11,11,2000.0
P016,pressure,0.2100,0.2100,0.0900,layer2,11,11,11,2000.0
E027,electrode,0.2500,0.2100,0.0900,layer2,13,11,11,0.03
E028,electrode,0.0500,0.2500,0.0900,layer2,3,13,11,0.03
E029,electrode,0.0900,0.2500,0.0900,layer2,5,13,11,0.03
E030,electrode,0.1500,0.2500,0.0900,layer2,8,13,11,0.03
E031,electrode,0.2100,0.2500,0.0900,layer2,11,13,11,0.03
E032,electrode,0.2500,0.2500,0.0900,layer2,13,13,11,0.03
