sensor_id,kind,x_m,y_m,z_m,continuum,sigma
P001,pressure,0.05,0.075,0.1,bulk,2000.0
P002,pressure,0.05,0.075,0.2,bulk,2000.0
P003,pressure,0.05,0.15,0.1,bulk,2000.0
P004,pressure,0.05,0.15,0.2,bulk,2000.0
P005,pressure,0.05,0.225,0.1,bulk,2000.0
P006,pressure,0.05,0.225,0.2,bulk,2000.0
P007,pressure,0.15,0.075,0.1,bulk,2000.0
P008,pressure,0.15,0.075,0.2,bulk,2000.0
P009,pressure,0.15,0.15,0.1,bulk,2000.0
P010,pressure,0.15,0.15,0.2,bulk,2000.0
P011,pressure,0.15,0.225,0.1,bulk,2000.0
P012,pressure,0.15,0.225,0.2,bulk,2000.0
P013,pressure,0.25,0.075,0.1,bulk,2000.0
P014,pressure,0.25,0.075,0.2,bulk,2000.0
P015,pressure,0.25,0.15,0.1,bulk,2000.0
P016,pressure,0.25,0.15,0.2,bulk,2000.0
P017,pressure,0.25,0.225,0.1,bulk,2000.0
P018,pressure,0.25,0.225,0.2,bulk,2000.0
S001,sw,0.05,0.05,0.075,bulk,0.03
S002,sw,0.05,0.05,0.15,bulk,0.03
S003,sw,0.05,0.05,0.225,bulk,0.03
S004,sw,0.05,0.1,0.075,bulk,0.03
S005,sw,0.05,0.1,0.15,bulk,0.03
S006,sw,0.05,0.1,0.225,bulk,0.03
S007,sw,0.05,0.15,0.075,bulk,0.03
S008,sw,0.05,0.15,0.15,bulk,0.03
S009,sw,0.05,0.15,0.225,bulk,0.03
S010,sw,0.05,0.2,0.075,bulk,0.03
S011,sw,0.05,0.2,0.15,bulk,0.03
S012,sw,0.05,0.2,0.225,bulk,0.03
S013,sw,0.05,0.25,0.075,bulk,0.03
S014,sw,0.05,0.25,0.15,bulk,0.03
S015,sw,0.05,0.25,0.225,bulk,0.03
S016,sw,0.1,0.05,0.075,bulk,0.03
S017,sw,0.1,0.05,0.15,bulk,0.03
S018,sw,0.1,0.05,0.225,bulk,0.03
S019,sw,0.1,0.1,0.075,bulk,0.03
S020,sw,0.1,0.1,0.15,bulk,0.03
S021,sw,0.1,0.1,0.225,bulk,0.03
S022,sw,0.1,0.15,0.075,bulk,0.03
S023,sw,0.1,0.15,0.15,bulk,0.03
S024,sw,0.1,0.15,0.225,bulk,0.03
S025,sw,0.1,0.2,0.075,bulk,0.03
S026,sw,0.1,0.2,0.15,bulk,0.03
S027,sw,0.1,0.2,0.225,bulk,0.03
S028,sw,0.1,0.25,0.075,bulk,0.03
S029,sw,0.1,0.25,0.15,bulk,0.03
S030,sw,0.1,0.25,0.225,bulk,0.03
S031,sw,0.15,0.05,0.075,bulk,0.03
S032,sw,0.15,0.05,0.15,bulk,0.03
S033,sw,0.15,0.05,0.225,bulk,0.03
S034,sw,0.15,0.1,0.075,bulk,0.03
S035,sw,0.15,0.1,0.15,bulk,0.03
S036,sw,0.15,0.1,0.225,bulk,0.03
S037,sw,0.15,0.15,0.075,bulk,0.03
S038,sw,0.15,0.15,0.15,bulk,0.03
S039,sw,0.15,0.15,0.225,bulk,0.03
S040,sw,0.15,0.2,0.075,bulk,0.03
S041,sw,0.15,0.2,0.15,bulk,0.03
S042,sw,0.15,0.2,0.225,bulk,0.03
S043,sw,0.15,0.25,0.075,bulk,0.03
S044,sw,0.15,0.25,0.15,bulk,0.03
S045,sw,0.15,0.25,0.225,bulk,0.03
S046,sw,0.2,0.05,0.075,bulk,0.03
S047,sw,0.2,0.05,0.15,bulk,0.03
S048,sw,0.2,0.05,0.225,bulk,0.03
S049,sw,0.2,0.1,0.075,bulk,0.03
S050,sw,0.2,0.1,0.15,bulk,0.03
S051,sw,0.2,0.1,0.225,bulk,0.03
S052,sw,0.2,0.15,0.075,bulk,0.03
S053,sw,0.2,0.15,0.15,bulk,0.03
S054,sw,0.2,0.15,0.225,bulk,0.03
S055,sw,0.2,0.2,0.075,bulk,0.03
S056,sw,0.2,0.2,0.15,bulk,0.03
S057,sw,0.2,0.2,0.225,bulk,0.03
S058,sw,0.2,0.25,0.075,bulk,0.03
S059,sw,0.2,0.25,0.15,bulk,0.03
S060,sw,0.2,0.25,0.225,bulk,0.03
S061,sw,0.25,0.05,0.075,bulk,0.03
S062,sw,0.25,0.05,0.15,bulk,0.03
S063,sw,0.25,0.05,0.225,bulk,0.03
S064,sw,0.25,0.1,0.075,bulk,0.03
S065,sw,0.25,0.1,0.15,bulk,0.03
S066,sw,0.25,0.1,0.225,bulk,0.03
S067,sw,0.25,0.15,0.075,bulk,0.03
S068,sw,0.25,0.15,0.15,bulk,0.03
S069,sw,0.25,0.15,0.225,bulk,0.03
S070,sw,0.25,0.2,0.075,bulk,0.03
S071,sw,0.25,0.2,0.15,bulk,0.03
S072,sw,0.25,0.2,0.225,bulk,0.03
S073,sw,0.25,0.25,0.075,bulk,0.03
S074,sw,0.25,0.25,0.15,bulk,0.03
S075,sw,0.25,0.25,0.225,bulk,0.03
