time_s,sensor,kind,value,sigma,holdout
3.0,P001,pressure,11926575.921885917,2000.0,0
6.0,P001,pressure,11898591.34314092,2000.0,0
3.0,P002,pressure,11926575.92188558,2000.0,0
6.0,P002,pressure,11898591.343140453,2000.0,0
3.0,P003,pressure,11926541.375755968,2000.0,1
6.0,P003,pressure,11898561.53231739,2000.0,1
3.0,P004,pressure,11926541.37575569,2000.0,0
6.0,P004,pressure,11898561.5323173,2000.0,0
3.0,P005,pressure,11926488.426504925,2000.0,1
6.0,P005,pressure,11898518.132687766,2000.0,1
3.0,P006,pressure,11926488.426505132,2000.0,0
6.0,P006,pressure,11898518.13268769,2000.0,0
3.0,S001,saturation,0.0,0.03,0
6.0,S001,saturation,0.0,0.03,0
3.0,S002,saturation,0.0,0.03,0
6.0,S002,saturation,0.0,0.03,0
3.0,S003,saturation,0.0,0.03,1
6.0,S003,saturation,0.0,0.03,1
3.0,S004,saturation,0.0,0.03,0
6.0,S004,saturation,0.0,0.03,0
3.0,S005,saturation,0.0,0.03,0
6.0,S005,saturation,0.0,0.03,0
3.0,S006,saturation,0.0,0.03,0
6.0,S006,saturation,0.0,0.03,0
3.0,S007,saturation,0.0,0.03,0
6.0,S007,saturation,0.0,0.03,0
3.0,S008,saturation,0.0,0.03,0
6.0,S008,saturation,0.0,0.03,0
3.0,S009,saturation,0.0,0.03,0
6.0,S009,saturation,0.0,0.03,0
