time_s,probe,quantity,value,unit
2592000.0,P_1,pressure,19100000,Pa
2592000.0,P_1,sw,0.0,
2592000.0,P_1,so,1.0,
2592000.0,P_1,sg,0.0,
2592000.0,P_2,pressure,19100000,Pa
2592000.0,P_2,sw,0.0,
2592000.0,P_2,so,1.0,
2592000.0,P_2,sg,0.0,
2592000.0,P_3,pressure,19100000,Pa
2592000.0,P_3,sw,0.0,
2592000.0,P_3,so,1.0,
2592000.0,P_3,sg,0.0,
2592000.0,P_4,pressure,19100000,Pa
2592000.0,P_4,sw,0.0,
2592000.0,P_4,so,1.0,
2592000.0,P_4,sg,0.0,
2592000.0,P_5,pressure,19150000,Pa
2592000.0,P_5,sw,0.0,
2592000.0,P_5,so,0.6,
2592000.0,P_5,sg,0.4,
5184000.0,P_1,pressure,19150000,Pa
5184000.0,P_1,sw,0.0,
5184000.0,P_1,so,0.8286,
5184000.0,P_1,sg,0.1714,
5184000.0,P_2,pressure,19150000,Pa
5184000.0,P_2,sw,0.0,
5184000.0,P_2,so,0.8286,
5184000.0,P_2,sg,0.1714,
5184000.0,P_3,pressure,19150000,Pa
5184000.0,P_3,sw,0.0,
5184000.0,P_3,so,0.8286,
5184000.0,P_3,sg,0.1714,
5184000.0,P_4,pressure,19150000,Pa
5184000.0,P_4,sw,0.0,
5184000.0,P_4,so,0.8286,
5184000.0,P_4,sg,0.1714,
5184000.0,P_5,pressure,19225000,Pa
5184000.0,P_5,sw,0.0,
5184000.0,P_5,so,0.6,
5184000.0,P_5,sg,0.4,
7776000.0,P_1,pressure,19200000,Pa
7776000.0,P_1,sw,0.0,
7776000.0,P_1,so,0.7333,
7776000.0,P_1,sg,0.2667,
7776000.0,P_2,pressure,19200000,Pa
7776000.0,P_2,sw,0.0,
7776000.0,P_2,so,0.7333,
7776000.0,P_2,sg,0.2667,
7776000.0,P_3,pressure,19200000,Pa
7776000.0,P_3,sw,0.0,
7776000.0,P_3,so,0.7333,
7776000.0,P_3,sg,0.2667,
7776000.0,P_4,pressure,19200000,Pa
7776000.0,P_4,sw,0.0,
7776000.0,P_4,so,0.7333,
7776000.0,P_4,sg,0.2667,
7776000.0,P_5,pressure,19300000,Pa
7776000.0,P_5,sw,0.0,
7776000.0,P_5,so,0.6,
7776000.0,P_5,sg,0.4,
