time_s,probe,quantity,value,unit
2592000,P_5_5_5,pressure,19101100,Pa
2592000,P_5_5_5,sg,0,
2592000,P_5_5_5,so,1,
2592000,P_5_5_5,sw,0,
2592000,P_8_5_5,pressure,19142900,Pa
2592000,P_8_5_5,sg,0,
2592000,P_8_5_5,so,1,
2592000,P_8_5_5,sw,0,
2592000,P_11_5_5,pressure,19135000,Pa
2592000,P_11_5_5,sg,0,
2592000,P_11_5_5,so,1,
2592000,P_11_5_5,sw,0,
2592000,P_5_8_5,pressure,19129900,Pa
2592000,P_5_8_5,sg,0,
2592000,P_5_8_5,so,1,
2592000,P_5_8_5,sw,0,
2592000,P_11_8_5,pressure,19142900,Pa
2592000,P_11_8_5,sg,0,
2592000,P_11_8_5,so,1,
2592000,P_11_8_5,sw,0,
2592000,P_5_11_5,pressure,19102100,Pa
2592000,P_5_11_5,sg,0,
2592000,P_5_11_5,so,1,
2592000,P_5_11_5,sw,0,
2592000,P_8_11_5,pressure,19129900,Pa
2592000,P_8_11_5,sg,0,
2592000,P_8_11_5,so,1,
2592000,P_8_11_5,sw,0,
2592000,P_11_11_5,pressure,19101100,Pa
2592000,P_11_11_5,sg,0,
2592000,P_11_11_5,so,1,
2592000,P_11_11_5,sw,0,
2592000,P_5_5_11,pressure,19073800,Pa
2592000,P_5_5_11,sg,0,
2592000,P_5_5_11,so,1,
2592000,P_5_5_11,sw,0,
2592000,P_8_5_11,pressure,19098600,Pa
2592000,P_8_5_11,sg,0,
2592000,P_8_5_11,so,1,
2592000,P_8_5_11,sw,0,
2592000,P_11_5_11,pressure,19076900,Pa
2592000,P_11_5_11,sg,0,
2592000,P_11_5_11,so,1,
2592000,P_11_5_11,sw,0,
2592000,P_5_8_11,pressure,19105800,Pa
2592000,P_5_8_11,sg,0,
2592000,P_5_8_11,so,1,
2592000,P_5_8_11,sw,0,
2592000,P_11_8_11,pressure,19098600,Pa
2592000,P_11_8_11,sg,0,
2592000,P_11_8_11,so,1,
2592000,P_11_8_11,sw,0,
2592000,P_5_11_11,pressure,19096300,Pa
2592000,P_5_11_11,sg,0,
2592000,P_5_11_11,so,1,
2592000,P_5_11_11,sw,0,
2592000,P_8_11_11,pressure,19105800,Pa
2592000,P_8_11_11,sg,0,
2592000,P_8_11_11,so,1,
2592000,P_8_11_11,sw,0,
2592000,P_11_11_11,pressure,19073800,Pa
2592000,P_11_11_11,sg,0,
2592000,P_11_11_11,so,1,
2592000,P_11_11_11,sw,0,
5184000,P_5_5_5,pressure,19101100,Pa
5184000,P_5_5_5,sg,0,
5184000,P_5_5_5,so,1,
5184000,P_5_5_5,sw,0,
5184000,P_8_5_5,pressure,19142900,Pa
5184000,P_8_5_5,sg,0,
5184000,P_8_5_5,so,1,
5184000,P_8_5_5,sw,0,
5184000,P_11_5_5,pressure,19135000,Pa
5184000,P_11_5_5,sg,0,
5184000,P_11_5_5,so,1,
5184000,P_11_5_5,sw,0,
5184000,P_5_8_5,pressure,19129900,Pa
5184000,P_5_8_5,sg,0,
5184000,P_5_8_5,so,1,
5184000,P_5_8_5,sw,0,
5184000,P_11_8_5,pressure,19142900,Pa
5184000,P_11_8_5,sg,0,
5184000,P_11_8_5,so,1,
5184000,P_11_8_5,sw,0,
5184000,P_5_11_5,pressure,19102100,Pa
5184000,P_5_11_5,sg,0,
5184000,P_5_11_5,so,1,
5184000,P_5_11_5,sw,0,
5184000,P_8_11_5,pressure,19129900,Pa
5184000,P_8_11_5,sg,0,
5184000,P_8_11_5,so,1,
5184000,P_8_11_5,sw,0,
5184000,P_11_11_5,pressure,19101100,Pa
5184000,P_11_11_5,sg,0,
5184000,P_11_11_5,so,1,
5184000,P_11_11_5,sw,0,
5184000,P_5_5_11,pressure,19073800,Pa
5184000,P_5_5_11,sg,0,
5184000,P_5_5_11,so,1,
5184000,P_5_5_11,sw,0,
5184000,P_8_5_11,pressure,19098600,Pa
5184000,P_8_5_11,sg,0,
5184000,P_8_5_11,so,1,
5184000,P_8_5_11,sw,0,
5184000,P_11_5_11,pressure,19076900,Pa
5184000,P_11_5_11,sg,0,
5184000,P_11_5_11,so,1,
5184000,P_11_5_11,sw,0,
5184000,P_5_8_11,pressure,19105800,Pa
5184000,P_5_8_11,sg,0,
5184000,P_5_8_11,so,1,
5184000,P_5_8_11,sw,0,
5184000,P_11_8_11,pressure,19098600,Pa
5184000,P_11_8_11,sg,0,
5184000,P_11_8_11,so,1,
5184000,P_11_8_11,sw,0,
5184000,P_5_11_11,pressure,19096300,Pa
5184000,P_5_11_11,sg,0,
5184000,P_5_11_11,so,1,
5184000,P_5_11_11,sw,0,
5184000,P_8_11_11,pressure,19105800,Pa
5184000,P_8_11_11,sg,0,
5184000,P_8_11_11,so,1,
5184000,P_8_11_11,sw,0,
5184000,P_11_11_11,pressure,19073800,Pa
5184000,P_11_11_11,sg,0,
5184000,P_11_11_11,so,1,
5184000,P_11_11_11,sw,0,
7776000,P_5_5_5,pressure,19101100,Pa
7776000,P_5_5_5,sg,0,
7776000,P_5_5_5,so,1,
7776000,P_5_5_5,sw,0,
7776000,P_8_5_5,pressure,19142900,Pa
7776000,P_8_5_5,sg,0,
7776000,P_8_5_5,so,1,
7776000,P_8_5_5,sw,0,
7776000,P_11_5_5,pressure,19134900,Pa
7776000,P_11_5_5,sg,0,
7776000,P_11_5_5,so,1,
7776000,P_11_5_5,sw,0,
7776000,P_5_8_5,pressure,19129900,Pa
7776000,P_5_8_5,sg,0,
7776000,P_5_8_5,so,1,
7776000,P_5_8_5,sw,0,
7776000,P_11_8_5,pressure,19142900,Pa
7776000,P_11_8_5,sg,0,
7776000,P_11_8_5,so,1,
7776000,P_11_8_5,sw,0,
7776000,P_5_11_5,pressure,19102100,Pa
7776000,P_5_11_5,sg,0,
7776000,P_5_11_5,so,1,
7776000,P_5_11_5,sw,0,
7776000,P_8_11_5,pressure,19129900,Pa
7776000,P_8_11_5,sg,0,
7776000,P_8_11_5,so,1,
7776000,P_8_11_5,sw,0,
7776000,P_11_11_5,pressure,19101100,Pa
7776000,P_11_11_5,sg,0,
7776000,P_11_11_5,so,1,
7776000,P_11_11_5,sw,0,
7776000,P_5_5_11,pressure,19073800,Pa
7776000,P_5_5_11,sg,0,
7776000,P_5_5_11,so,1,
7776000,P_5_5_11,sw,0,
7776000,P_8_5_11,pressure,19098600,Pa
7776000,P_8_5_11,sg,0,
7776000,P_8_5_11,so,1,
7776000,P_8_5_11,sw,0,
7776000,P_11_5_11,pressure,19076900,Pa
7776000,P_11_5_11,sg,0,
7776000,P_11_5_11,so,1,
7776000,P_11_5_11,sw,0,
7776000,P_5_8_11,pressure,19105800,Pa
7776000,P_5_8_11,sg,0,
7776000,P_5_8_11,so,1,
7776000,P_5_8_11,sw,0,
7776000,P_11_8_11,pressure,19098600,Pa
7776000,P_11_8_11,sg,0,
7776000,P_11_8_11,so,1,
7776000,P_11_8_11,sw,0,
7776000,P_5_11_11,pressure,19096300,Pa
7776000,P_5_11_11,sg,0,
7776000,P_5_11_11,so,1,
7776000,P_5_11_11,sw,0,
7776000,P_8_11_11,pressure,19105800,Pa
7776000,P_8_11_11,sg,0,
7776000,P_8_11_11,so,1,
7776000,P_8_11_11,sw,0,
7776000,P_11_11_11,pressure,19073800,Pa
7776000,P_11_11_11,sg,0,
7776000,P_11_11_11,so,1,
7776000,P_11_11_11,sw,0,
10368000,P_5_5_5,pressure,19101100,Pa
10368000,P_5_5_5,sg,0,
10368000,P_5_5_5,so,1,
10368000,P_5_5_5,sw,0,
10368000,P_8_5_5,pressure,19142900,Pa
10368000,P_8_5_5,sg,0,
10368000,P_8_5_5,so,1,
10368000,P_8_5_5,sw,0,
10368000,P_11_5_5,pressure,19134900,Pa
10368000,P_11_5_5,sg,0,
10368000,P_11_5_5,so,1,
10368000,P_11_5_5,sw,0,
10368000,P_5_8_5,pressure,19129900,Pa
10368000,P_5_8_5,sg,0,
10368000,P_5_8_5,so,1,
10368000,P_5_8_5,sw,0,
10368000,P_11_8_5,pressure,19142900,Pa
10368000,P_11_8_5,sg,0,
10368000,P_11_8_5,so,1,
10368000,P_11_8_5,sw,0,
10368000,P_5_11_5,pressure,19102100,Pa
10368000,P_5_11_5,sg,0,
10368000,P_5_11_5,so,1,
10368000,P_5_11_5,sw,0,
10368000,P_8_11_5,pressure,19129900,Pa
10368000,P_8_11_5,sg,0,
10368000,P_8_11_5,so,1,
10368000,P_8_11_5,sw,0,
10368000,P_11_11_5,pressure,19101100,Pa
10368000,P_11_11_5,sg,0,
10368000,P_11_11_5,so,1,
10368000,P_11_11_5,sw,0,
10368000,P_5_5_11,pressure,19073800,Pa
10368000,P_5_5_11,sg,0,
10368000,P_5_5_11,so,1,
10368000,P_5_5_11,sw,0,
10368000,P_8_5_11,pressure,19098600,Pa
10368000,P_8_5_11,sg,0,
10368000,P_8_5_11,so,1,
10368000,P_8_5_11,sw,0,
10368000,P_11_5_11,pressure,19076900,Pa
10368000,P_11_5_11,sg,0,
10368000,P_11_5_11,so,1,
10368000,P_11_5_11,sw,0,
10368000,P_5_8_11,pressure,19105800,Pa
10368000,P_5_8_11,sg,0,
10368000,P_5_8_11,so,1,
10368000,P_5_8_11,sw,0,
10368000,P_11_8_11,pressure,19098600,Pa
10368000,P_11_8_11,sg,0,
10368000,P_11_8_11,so,1,
10368000,P_11_8_11,sw,0,
10368000,P_5_11_11,pressure,19096300,Pa
10368000,P_5_11_11,sg,0,
10368000,P_5_11_11,so,1,
10368000,P_5_11_11,sw,0,
10368000,P_8_11_11,pressure,19105800,Pa
10368000,P_8_11_11,sg,0,
10368000,P_8_11_11,so,1,
10368000,P_8_11_11,sw,0,
10368000,P_11_11_11,pressure,19073800,Pa
10368000,P_11_11_11,sg,0,
10368000,P_11_11_11,so,1,
10368000,P_11_11_11,sw,0,
12960000,P_5_5_5,pressure,19101100,Pa
12960000,P_5_5_5,sg,0,
12960000,P_5_5_5,so,1,
12960000,P_5_5_5,sw,0,
12960000,P_8_5_5,pressure,19142900,Pa
12960000,P_8_5_5,sg,0,
12960000,P_8_5_5,so,1,
12960000,P_8_5_5,sw,0,
12960000,P_11_5_5,pressure,19134900,Pa
12960000,P_11_5_5,sg,0,
12960000,P_11_5_5,so,1,
12960000,P_11_5_5,sw,0,
12960000,P_5_8_5,pressure,19129900,Pa
12960000,P_5_8_5,sg,0,
12960000,P_5_8_5,so,1,
12960000,P_5_8_5,sw,0,
12960000,P_11_8_5,pressure,19142900,Pa
12960000,P_11_8_5,sg,0,
12960000,P_11_8_5,so,1,
12960000,P_11_8_5,sw,0,
12960000,P_5_11_5,pressure,19102100,Pa
12960000,P_5_11_5,sg,0,
12960000,P_5_11_5,so,1,
12960000,P_5_11_5,sw,0,
12960000,P_8_11_5,pressure,19129900,Pa
12960000,P_8_11_5,sg,0,
12960000,P_8_11_5,so,1,
12960000,P_8_11_5,sw,0,
12960000,P_11_11_5,pressure,19101100,Pa
12960000,P_11_11_5,sg,0,
12960000,P_11_11_5,so,1,
12960000,P_11_11_5,sw,0,
12960000,P_5_5_11,pressure,19073800,Pa
12960000,P_5_5_11,sg,0,
12960000,P_5_5_11,so,1,
12960000,P_5_5_11,sw,0,
12960000,P_8_5_11,pressure,19098600,Pa
12960000,P_8_5_11,sg,0,
12960000,P_8_5_11,so,1,
12960000,P_8_5_11,sw,0,
12960000,P_11_5_11,pressure,19076900,Pa
12960000,P_11_5_11,sg,0,
12960000,P_11_5_11,so,1,
12960000,P_11_5_11,sw,0,
12960000,P_5_8_11,pressure,19105800,Pa
12960000,P_5_8_11,sg,0,
12960000,P_5_8_11,so,1,
12960000,P_5_8_11,sw,0,
12960000,P_11_8_11,pressure,19098600,Pa
12960000,P_11_8_11,sg,0,
12960000,P_11_8_11,so,1,
12960000,P_11_8_11,sw,0,
12960000,P_5_11_11,pressure,19096300,Pa
12960000,P_5_11_11,sg,0,
12960000,P_5_11_11,so,1,
12960000,P_5_11_11,sw,0,
12960000,P_8_11_11,pressure,19105800,Pa
12960000,P_8_11_11,sg,0,
12960000,P_8_11_11,so,1,
12960000,P_8_11_11,sw,0,
12960000,P_11_11_11,pressure,19073800,Pa
12960000,P_11_11_11,sg,0,
12960000,P_11_11_11,so,1,
12960000,P_11_11_11,sw,0,
15552000,P_5_5_5,pressure,19101100,Pa
15552000,P_5_5_5,sg,0,
15552000,P_5_5_5,so,1,
15552000,P_5_5_5,sw,0,
15552000,P_8_5_5,pressure,19142900,Pa
15552000,P_8_5_5,sg,0,
15552000,P_8_5_5,so,1,
15552000,P_8_5_5,sw,0,
15552000,P_11_5_5,pressure,19134900,Pa
15552000,P_11_5_5,sg,0,
15552000,P_11_5_5,so,1,
15552000,P_11_5_5,sw,0,
15552000,P_5_8_5,pressure,19129900,Pa
15552000,P_5_8_5,sg,0,
15552000,P_5_8_5,so,1,
15552000,P_5_8_5,sw,0,
15552000,P_11_8_5,pressure,19142900,Pa
15552000,P_11_8_5,sg,0,
15552000,P_11_8_5,so,1,
15552000,P_11_8_5,sw,0,
15552000,P_5_11_5,pressure,19102100,Pa
15552000,P_5_11_5,sg,0,
15552000,P_5_11_5,so,1,
15552000,P_5_11_5,sw,0,
15552000,P_8_11_5,pressure,19129900,Pa
15552000,P_8_11_5,sg,0,
15552000,P_8_11_5,so,1,
15552000,P_8_11_5,sw,0,
15552000,P_11_11_5,pressure,19101100,Pa
15552000,P_11_11_5,sg,0,
15552000,P_11_11_5,so,1,
15552000,P_11_11_5,sw,0,
15552000,P_5_5_11,pressure,19073800,Pa
15552000,P_5_5_11,sg,0,
15552000,P_5_5_11,so,1,
15552000,P_5_5_11,sw,0,
15552000,P_8_5_11,pressure,19098600,Pa
15552000,P_8_5_11,sg,0,
15552000,P_8_5_11,so,1,
15552000,P_8_5_11,sw,0,
15552000,P_11_5_11,pressure,19076900,Pa
15552000,P_11_5_11,sg,0,
15552000,P_11_5_11,so,1,
15552000,P_11_5_11,sw,0,
15552000,P_5_8_11,pressure,19105800,Pa
15552000,P_5_8_11,sg,0,
15552000,P_5_8_11,so,1,
15552000,P_5_8_11,sw,0,
15552000,P_11_8_11,pressure,19098600,Pa
15552000,P_11_8_11,sg,0,
15552000,P_11_8_11,so,1,
15552000,P_11_8_11,sw,0,
15552000,P_5_11_11,pressure,19096300,Pa
