id,x_m,y_m,z_m
P_3_3_15,0.05,0.05,0.01
P_3_8_15,0.05,0.15,0.01
P_3_13_15,0.05,0.25,0.01
P_8_3_15,0.15,0.05,0.01
P_8_8_15,0.15,0.15,0.01
P_8_13_15,0.15,0.25,0.01
P_13_3_15,0.25,0.05,0.01
P_13_8_15,0.25,0.15,0.01
P_13_13_15,0.25,0.25,0.01
P_3_3_14,0.05,0.05,0.03
P_3_8_14,0.05,0.15,0.03
P_3_13_14,0.05,0.25,0.03
P_8_3_14,0.15,0.05,0.03
P_8_8_14,0.15,0.15,0.03
P_8_13_14,0.15,0.25,0.03
P_13_3_14,0.25,0.05,0.03
P_13_8_14,0.25,0.15,0.03
P_13_13_14,0.25,0.25,0.03
P_3_3_13,0.05,0.05,0.05
P_3_8_13,0.05,0.15,0.05
P_3_13_13,0.05,0.25,0.05
P_8_3_13,0.15,0.05,0.05
P_8_8_13,0.15,0.15,0.05
P_8_13_13,0.15,0.25,0.05
P_13_3_13,0.25,0.05,0.05
P_13_8_13,0.25,0.15,0.05
P_13_13_13,0.25,0.25,0.05
