time_s,probe,quantity,value,unit
2592000.0,P_corner_1,pressure,19079289,Pa
2592000.0,P_corner_1,sw,0.0,
2592000.0,P_corner_1,so,1.0,
2592000.0,P_corner_1,sg,0.0,
2592000.0,P_corner_2,pressure,19079289,Pa
2592000.0,P_corner_2,sw,0.0,
2592000.0,P_corner_2,so,1.0,
2592000.0,P_corner_2,sg,0.0,
2592000.0,P_corner_3,pressure,19079289,Pa
2592000.0,P_corner_3,sw,0.0,
2592000.0,P_corner_3,so,1.0,
2592000.0,P_corner_3,sg,0.0,
2592000.0,P_corner_4,pressure,19079289,Pa
2592000.0,P_corner_4,sw,0.0,
2592000.0,P_corner_4,so,1.0,
2592000.0,P_corner_4,sg,0.0,
5184000.0,P_corner_1,pressure,19118934,Pa
5184000.0,P_corner_1,sw,0.0,
5184000.0,P_corner_1,so,0.9232,
5184000.0,P_corner_1,sg,0.0768,
5184000.0,P_corner_2,pressure,19118934,Pa
5184000.0,P_corner_2,sw,0.0,
5184000.0,P_corner_2,so,0.9232,
5184000.0,P_corner_2,sg,0.0768,
5184000.0,P_corner_3,pressure,19118934,Pa
5184000.0,P_corner_3,sw,0.0,
5184000.0,P_corner_3,so,0.9232,
5184000.0,P_corner_3,sg,0.0768,
5184000.0,P_corner_4,pressure,19118934,Pa
5184000.0,P_corner_4,sw,0.0,
5184000.0,P_corner_4,so,0.9232,
5184000.0,P_corner_4,sg,0.0768,
7776000.0,P_corner_1,pressure,19158579,Pa
7776000.0,P_corner_1,sw,0.0,
7776000.0,P_corner_1,so,0.7886,
7776000.0,P_corner_1,sg,0.2114,
7776000.0,P_corner_2,pressure,19158579,Pa
7776000.0,P_corner_2,sw,0.0,
7776000.0,P_corner_2,so,0.7886,
7776000.0,P_corner_2,sg,0.2114,
7776000.0,P_corner_3,pressure,19158579,Pa
7776000.0,P_corner_3,sw,0.0,
7776000.0,P_corner_3,so,0.7886,
7776000.0,P_corner_3,sg,0.2114,
7776000.0,P_corner_4,pressure,19158579,Pa
7776000.0,P_corner_4,sw,0.0,
7776000.0,P_corner_4,so,0.7886,
7776000.0,P_corner_4,sg,0.2114,
