time_s,sensor,kind,value,sigma,holdout
0,P_in_bot,pressure,154081.84,2000,0
100,P_in_bot,pressure,160873.04,2000,0
200,P_in_bot,pressure,165831.69,2000,0
300,P_in_bot,pressure,162997.88,2000,0
400,P_in_bot,pressure,161430.09,2000,0
500,P_in_bot,pressure,158905.85,2000,0
600,P_in_bot,pressure,153232.14,2000,0
700,P_in_bot,pressure,154918.68,2000,0
0,P_in_top,pressure,148269.57,2000,0
100,P_in_top,pressure,142963.45,2000,0
200,P_in_top,pressure,136933.47,2000,0
300,P_in_top,pressure,136541.42,2000,0
400,P_in_top,pressure,136095.25,2000,0
500,P_in_top,pressure,133417.8,2000,0
600,P_in_top,pressure,131262.31,2000,0
700,P_in_top,pressure,131315.59,2000,0
0,P_out_bot,pressure,150963.89,2000,0
100,P_out_bot,pressure,124424.08,2000,0
200,P_out_bot,pressure,126805.79,2000,0
300,P_out_bot,pressure,125466,2000,0
400,P_out_bot,pressure,125898.48,2000,0
500,P_out_bot,pressure,127927.51,2000,0
600,P_out_bot,pressure,125180.06,2000,0
700,P_out_bot,pressure,122460.45,2000,0
0,P_out_top,pressure,149634.32,2000,1
100,P_out_top,pressure,120992.14,2000,1
200,P_out_top,pressure,123853.27,2000,1
300,P_out_top,pressure,121567.62,2000,1
400,P_out_top,pressure,122013.28,2000,1
500,P_out_top,pressure,123365.37,2000,1
600,P_out_top,pressure,118636.74,2000,1
700,P_out_top,pressure,118915.48,2000,1
0,S_mid_bot,saturation,0.23530156,0.04,1
100,S_mid_bot,saturation,0.22339993,0.04,1
200,S_mid_bot,saturation,0.22055302,0.04,1
300,S_mid_bot,saturation,0.29814284,0.04,1
400,S_mid_bot,saturation,0.22491069,0.04,1
500,S_mid_bot,saturation,0.43121097,0.04,1
600,S_mid_bot,saturation,0.38701404,0.04,1
700,S_mid_bot,saturation,0.38154625,0.04,1
0,S_mid_top,saturation,0.21105783,0.04,0
100,S_mid_top,saturation,0.24722776,0.04,0
200,S_mid_top,saturation,0.36321666,0.04,0
300,S_mid_top,saturation,0.41561539,0.04,0
400,S_mid_top,saturation,0.48795067,0.04,0
500,S_mid_top,saturation,0.49675416,0.04,0
600,S_mid_top,saturation,0.56054852,0.04,0
700,S_mid_top,saturation,0.53665705,0.04,0
