time,time_unit,sensor,kind,value,unit,sigma,holdout
0,min,P_in_bot,pressure,154.08184,kPa,2,0
1.66666666667,min,P_in_bot,pressure,160.87304,kPa,2,0
3.33333333333,min,P_in_bot,pressure,165.83169,kPa,2,0
5,min,P_in_bot,pressure,162.99788,kPa,2,0
6.66666666667,min,P_in_bot,pressure,161.43009,kPa,2,0
8.33333333333,min,P_in_bot,pressure,158.90585,kPa,2,0
10,min,P_in_bot,pressure,153.23214,kPa,2,0
11.6666666667,min,P_in_bot,pressure,154.91868,kPa,2,0
0,min,P_in_top,pressure,148.26957,kPa,2,0
1.66666666667,min,P_in_top,pressure,142.96345,kPa,2,0
3.33333333333,min,P_in_top,pressure,136.93347,kPa,2,0
5,min,P_in_top,pressure,136.54142,kPa,2,0
6.66666666667,min,P_in_top,pressure,136.09525,kPa,2,0
8.33333333333,min,P_in_top,pressure,133.4178,kPa,2,0
10,min,P_in_top,pressure,131.26231,kPa,2,0
11.6666666667,min,P_in_top,pressure,131.31559,kPa,2,0
0,min,P_out_bot,pressure,150.96389,kPa,2,0
1.66666666667,min,P_out_bot,pressure,124.42408,kPa,2,0
3.33333333333,min,P_out_bot,pressure,126.80579,kPa,2,0
5,min,P_out_bot,pressure,125.466,kPa,2,0
6.66666666667,min,P_out_bot,pressure,125.89848,kPa,2,0
8.33333333333,min,P_out_bot,pressure,127.92751,kPa,2,0
10,min,P_out_bot,pressure,125.18006,kPa,2,0
11.6666666667,min,P_out_bot,pressure,122.46045,kPa,2,0
0,min,P_out_top,pressure,149.63432,kPa,2,1
1.66666666667,min,P_out_top,pressure,120.99214,kPa,2,1
3.33333333333,min,P_out_top,pressure,123.85327,kPa,2,1
5,min,P_out_top,pressure,121.56762,kPa,2,1
6.66666666667,min,P_out_top,pressure,122.01328,kPa,2,1
8.33333333333,min,P_out_top,pressure,123.36537,kPa,2,1
10,min,P_out_top,pressure,118.63674,kPa,2,1
11.6666666667,min,P_out_top,pressure,118.91548,kPa,2,1
0,min,S_mid_bot,saturation,0.23530156,,0.04,1
1.66666666667,min,S_mid_bot,saturation,0.22339993,,0.04,1
3.33333333333,min,S_mid_bot,saturation,0.22055302,,0.04,1
5,min,S_mid_bot,saturation,0.29814284,,0.04,1
6.66666666667,min,S_mid_bot,saturation,0.22491069,,0.04,1
8.33333333333,min,S_mid_bot,saturation,0.43121097,,0.04,1
10,min,S_mid_bot,saturation,0.38701404,,0.04,1
11.6666666667,min,S_mid_bot,saturation,0.38154625,,0.04,1
0,min,S_mid_top,saturation,0.21105783,,0.04,0
1.66666666667,min,S_mid_top,saturation,0.24722776,,0.04,0
3.33333333333,min,S_mid_top,saturation,0.36321666,,0.04,0
5,min,S_mid_top,saturation,0.41561539,,0.04,0
6.66666666667,min,S_mid_top,saturation,0.48795067,,0.04,0
8.33333333333,min,S_mid_top,saturation,0.49675416,,0.04,0
10,min,S_mid_top,saturation,0.56054852,,0.04,0
11.6666666667,min,S_mid_top,saturation,0.53665705,,0.04,0
