time_s,probe,quantity,value,unit
2592000.0,P_1,pressure,19079289,Pa
2592000.0,P_1,sw,0.0,
2592000.0,P_1,so,1.0,
2592000.0,P_1,sg,0.0,
2592000.0,P_2,pressure,19100000,Pa
2592000.0,P_2,sw,0.0,
2592000.0,P_2,so,1.0,
2592000.0,P_2,sg,0.0,
2592000.0,P_3,pressure,19079289,Pa
2592000.0,P_3,sw,0.0,
2592000.0,P_3,so,1.0,
2592000.0,P_3,sg,0.0,
2592000.0,P_4,pressure,19100000,Pa
2592000.0,P_4,sw,0.0,
2592000.0,P_4,so,1.0,
2592000.0,P_4,sg,0.0,
2592000.0,P_5,pressure,19100000,Pa
2592000.0,P_5,sw,0.0,
2592000.0,P_5,so,1.0,
2592000.0,P_5,sg,0.0,
2592000.0,P_6,pressure,19100000,Pa
2592000.0,P_6,sw,0.0,
2592000.0,P_6,so,1.0,
2592000.0,P_6,sg,0.0,
5184000.0,P_1,pressure,19105719,Pa
5184000.0,P_1,sw,0.0,
5184000.0,P_1,so,1.0,
5184000.0,P_1,sg,0.0,
5184000.0,P_2,pressure,19133333,Pa
5184000.0,P_2,sw,0.0,
5184000.0,P_2,so,0.9,
5184000.0,P_2,sg,0.1,
5184000.0,P_3,pressure,19105719,Pa
5184000.0,P_3,sw,0.0,
5184000.0,P_3,so,1.0,
5184000.0,P_3,sg,0.0,
5184000.0,P_4,pressure,19133333,Pa
5184000.0,P_4,sw,0.0,
5184000.0,P_4,so,0.9,
5184000.0,P_4,sg,0.1,
5184000.0,P_5,pressure,19133333,Pa
5184000.0,P_5,sw,0.0,
5184000.0,P_5,so,0.9,
5184000.0,P_5,sg,0.1,
5184000.0,P_6,pressure,19133333,Pa
5184000.0,P_6,sw,0.0,
5184000.0,P_6,so,0.9,
5184000.0,P_6,sg,0.1,
7776000.0,P_1,pressure,19132149,Pa
7776000.0,P_1,sw,0.0,
7776000.0,P_1,so,0.8611,
7776000.0,P_1,sg,0.1389,
7776000.0,P_2,pressure,19166667,Pa
7776000.0,P_2,sw,0.0,
7776000.0,P_2,so,0.7846,
7776000.0,P_2,sg,0.2154,
7776000.0,P_3,pressure,19132149,Pa
7776000.0,P_3,sw,0.0,
7776000.0,P_3,so,0.8611,
7776000.0,P_3,sg,0.1389,
7776000.0,P_4,pressure,19166667,Pa
7776000.0,P_4,sw,0.0,
7776000.0,P_4,so,0.7846,
7776000.0,P_4,sg,0.2154,
7776000.0,P_5,pressure,19166667,Pa
7776000.0,P_5,sw,0.0,
7776000.0,P_5,so,0.7846,
7776000.0,P_5,sg,0.2154,
7776000.0,P_6,pressure,19166667,Pa
7776000.0,P_6,sw,0.0,
7776000.0,P_6,so,0.7846,
7776000.0,P_6,sg,0.2154,
10368000.0,P_1,pressure,19158579,Pa
10368000.0,P_1,sw,0.0,
10368000.0,P_1,so,0.7886,
10368000.0,P_1,sg,0.2114,
10368000.0,P_2,pressure,19200000,Pa
10368000.0,P_2,sw,0.0,
10368000.0,P_2,so,0.7333,
10368000.0,P_2,sg,0.2667,
10368000.0,P_3,pressure,19158579,Pa
10368000.0,P_3,sw,0.0,
10368000.0,P_3,so,0.7886,
10368000.0,P_3,sg,0.2114,
10368000.0,P_4,pressure,19200000,Pa
10368000.0,P_4,sw,0.0,
10368000.0,P_4,so,0.7333,
10368000.0,P_4,sg,0.2667,
10368000.0,P_5,pressure,19200000,Pa
10368000.0,P_5,sw,0.0,
10368000.0,P_5,so,0.7333,
10368000.0,P_5,sg,0.2667,
10368000.0,P_6,pressure,19200000,Pa
10368000.0,P_6,sw,0.0,
10368000.0,P_6,so,0.7333,
10368000.0,P_6,sg,0.2667,
