time_s,well,pw_pa,q_m3s,qw_m3s,qo_m3s,qg_m3s
2592000.0,INJ,19300000.0,8.33333333e-08,0.0,0.0,8.33333333e-08
2592000.0,PROD1,19000000.0,-3e-08,0.0,-3e-08,-0.0
2592000.0,PROD2,19000000.0,-3e-08,0.0,-3e-08,-0.0
5184000.0,INJ,19300000.0,8.33333333e-08,0.0,0.0,8.33333333e-08
5184000.0,PROD1,19000000.0,-3e-08,0.0,-2.8e-08,-2e-09
5184000.0,PROD2,19000000.0,-3e-08,0.0,-2.8e-08,-2e-09
7776000.0,INJ,19300000.0,8.33333333e-08,0.0,0.0,8.33333333e-08
7776000.0,PROD1,19000000.0,-3e-08,0.0,-2.6e-08,-4e-09
7776000.0,PROD2,19000000.0,-3e-08,0.0,-2.6e-08,-4e-09
10368000.0,INJ,19300000.0,8.33333333e-08,0.0,0.0,8.33333333e-08
10368000.0,PROD1,19000000.0,-3e-08,0.0,-2.4e-08,-6e-09
10368000.0,PROD2,19000000.0,-3e-08,0.0,-2.4e-08,-6e-09
