time_s,probe,quantity,value,unit
2592000,P_3_3_15,pressure,19003300,Pa
2592000,P_3_3_15,sg,0.859,
2592000,P_3_3_15,so,0.141,
2592000,P_3_3_15,sw,0,
2592000,P_8_3_15,pressure,19031300,Pa
2592000,P_8_3_15,sg,0.978,
2592000,P_8_3_15,so,0.022,
2592000,P_8_3_15,sw,0,
2592000,P_13_3_15,pressure,19002300,Pa
2592000,P_13_3_15,sg,0.801,
2592000,P_13_3_15,so,0.199,
2592000,P_13_3_15,sw,0,
2592000,P_3_8_15,pressure,19044800,Pa
2592000,P_3_8_15,sg,0.902,
2592000,P_3_8_15,so,0.098,
2592000,P_3_8_15,sw,0,
2592000,P_8_8_15,pressure,19042700,Pa
2592000,P_8_8_15,sg,0,
2592000,P_8_8_15,so,1,
2592000,P_8_8_15,sw,0,
2592000,P_13_8_15,pressure,19031300,Pa
2592000,P_13_8_15,sg,0.978,
2592000,P_13_8_15,so,0.022,
2592000,P_13_8_15,sw,0,
2592000,P_3_13_15,pressure,19055100,Pa
2592000,P_3_13_15,sg,0.907,
2592000,P_3_13_15,so,0.093,
2592000,P_3_13_15,sw,0,
2592000,P_8_13_15,pressure,19044800,Pa
2592000,P_8_13_15,sg,0.902,
2592000,P_8_13_15,so,0.098,
2592000,P_8_13_15,sw,0,
2592000,P_13_13_15,pressure,19003300,Pa
2592000,P_13_13_15,sg,0.859,
2592000,P_13_13_15,so,0.141,
2592000,P_13_13_15,sw,0,
2592000,P_3_3_14,pressure,19003400,Pa
2592000,P_3_3_14,sg,0,
2592000,P_3_3_14,so,1,
2592000,P_3_3_14,sw,0,
2592000,P_8_3_14,pressure,19035100,Pa
2592000,P_8_3_14,sg,0,
2592000,P_8_3_14,so,1,
2592000,P_8_3_14,sw,0,
2592000,P_13_3_14,pressure,19002500,Pa
2592000,P_13_3_14,sg,0,
2592000,P_13_3_14,so,1,
2592000,P_13_3_14,sw,0,
2592000,P_3_8_14,pressure,19048700,Pa
2592000,P_3_8_14,sg,0,
2592000,P_3_8_14,so,1,
2592000,P_3_8_14,sw,0,
2592000,P_8_8_14,pressure,19048400,Pa
2592000,P_8_8_14,sg,0,
2592000,P_8_8_14,so,1,
2592000,P_8_8_14,sw,0,
2592000,P_13_8_14,pressure,19035100,Pa
2592000,P_13_8_14,sg,0,
2592000,P_13_8_14,so,1,
2592000,P_13_8_14,sw,0,
2592000,P_3_13_14,pressure,19058800,Pa
2592000,P_3_13_14,sg,0.905,
2592000,P_3_13_14,so,0.095,
2592000,P_3_13_14,sw,0,
2592000,P_8_13_14,pressure,19048700,Pa
2592000,P_8_13_14,sg,0,
2592000,P_8_13_14,so,1,
2592000,P_8_13_14,sw,0,
2592000,P_13_13_14,pressure,19003400,Pa
2592000,P_13_13_14,sg,0,
2592000,P_13_13_14,so,1,
2592000,P_13_13_14,sw,0,
2592000,P_3_3_13,pressure,19003800,Pa
2592000,P_3_3_13,sg,0,
2592000,P_3_3_13,so,1,
2592000,P_3_3_13,sw,0,
2592000,P_8_3_13,pressure,19043200,Pa
2592000,P_8_3_13,sg,0,
2592000,P_8_3_13,so,1,
2592000,P_8_3_13,sw,0,
2592000,P_13_3_13,pressure,19003000,Pa
2592000,P_13_3_13,sg,0,
2592000,P_13_3_13,so,1,
2592000,P_13_3_13,sw,0,
2592000,P_3_8_13,pressure,19056800,Pa
2592000,P_3_8_13,sg,0,
2592000,P_3_8_13,so,1,
2592000,P_3_8_13,sw,0,
2592000,P_8_8_13,pressure,19062800,Pa
2592000,P_8_8_13,sg,0,
2592000,P_8_8_13,so,1,
2592000,P_8_8_13,sw,0,
2592000,P_13_8_13,pressure,19043200,Pa
2592000,P_13_8_13,sg,0,
2592000,P_13_8_13,so,1,
2592000,P_13_8_13,sw,0,
2592000,P_3_13_13,pressure,19065800,Pa
2592000,P_3_13_13,sg,0.978,
2592000,P_3_13_13,so,0.022,
2592000,P_3_13_13,sw,0,
2592000,P_8_13_13,pressure,19056800,Pa
2592000,P_8_13_13,sg,0,
2592000,P_8_13_13,so,1,
2592000,P_8_13_13,sw,0,
2592000,P_13_13_13,pressure,19003800,Pa
2592000,P_13_13_13,sg,0,
2592000,P_13_13_13,so,1,
2592000,P_13_13_13,sw,0,
5184000,P_3_3_15,pressure,19003200,Pa
5184000,P_3_3_15,sg,0,
5184000,P_3_3_15,so,1,
5184000,P_3_3_15,sw,0,
5184000,P_8_3_15,pressure,19031300,Pa
5184000,P_8_3_15,sg,0,
5184000,P_8_3_15,so,1,
5184000,P_8_3_15,sw,0,
5184000,P_13_3_15,pressure,19002300,Pa
5184000,P_13_3_15,sg,0,
5184000,P_13_3_15,so,1,
5184000,P_13_3_15,sw,0,
5184000,P_3_8_15,pressure,19044800,Pa
5184000,P_3_8_15,sg,0,
5184000,P_3_8_15,so,1,
5184000,P_3_8_15,sw,0,
5184000,P_8_8_15,pressure,19042700,Pa
5184000,P_8_8_15,sg,0,
5184000,P_8_8_15,so,1,
5184000,P_8_8_15,sw,0,
5184000,P_13_8_15,pressure,19031300,Pa
5184000,P_13_8_15,sg,0,
5184000,P_13_8_15,so,1,
5184000,P_13_8_15,sw,0,
5184000,P_3_13_15,pressure,19055100,Pa
5184000,P_3_13_15,sg,0.937,
5184000,P_3_13_15,so,0.063,
5184000,P_3_13_15,sw,0,
5184000,P_8_13_15,pressure,19044800,Pa
5184000,P_8_13_15,sg,0,
5184000,P_8_13_15,so,1,
5184000,P_8_13_15,sw,0,
5184000,P_13_13_15,pressure,19003200,Pa
5184000,P_13_13_15,sg,0,
5184000,P_13_13_15,so,1,
5184000,P_13_13_15,sw,0,
5184000,P_3_3_14,pressure,19003400,Pa
5184000,P_3_3_14,sg,0,
5184000,P_3_3_14,so,1,
5184000,P_3_3_14,sw,0,
5184000,P_8_3_14,pressure,19035100,Pa
5184000,P_8_3_14,sg,0,
5184000,P_8_3_14,so,1,
5184000,P_8_3_14,sw,0,
5184000,P_13_3_14,pressure,19002500,Pa
5184000,P_13_3_14,sg,0,
5184000,P_13_3_14,so,1,
5184000,P_13_3_14,sw,0,
5184000,P_3_8_14,pressure,19048700,Pa
5184000,P_3_8_14,sg,0,
5184000,P_3_8_14,so,1,
5184000,P_3_8_14,sw,0,
5184000,P_8_8_14,pressure,19048400,Pa
5184000,P_8_8_14,sg,0,
5184000,P_8_8_14,so,1,
5184000,P_8_8_14,sw,0,
5184000,P_13_8_14,pressure,19035100,Pa
5184000,P_13_8_14,sg,0,
5184000,P_13_8_14,so,1,
5184000,P_13_8_14,sw,0,
5184000,P_3_13_14,pressure,19058700,Pa
5184000,P_3_13_14,sg,0,
5184000,P_3_13_14,so,1,
5184000,P_3_13_14,sw,0,
5184000,P_8_13_14,pressure,19048700,Pa
5184000,P_8_13_14,sg,0,
5184000,P_8_13_14,so,1,
5184000,P_8_13_14,sw,0,
5184000,P_13_13_14,pressure,19003400,Pa
5184000,P_13_13_14,sg,0,
5184000,P_13_13_14,so,1,
5184000,P_13_13_14,sw,0,
5184000,P_3_3_13,pressure,19003800,Pa
5184000,P_3_3_13,sg,0,
5184000,P_3_3_13,so,1,
5184000,P_3_3_13,sw,0,
5184000,P_8_3_13,pressure,19043200,Pa
5184000,P_8_3_13,sg,0,
5184000,P_8_3_13,so,1,
5184000,P_8_3_13,sw,0,
5184000,P_13_3_13,pressure,19003000,Pa
5184000,P_13_3_13,sg,0,
5184000,P_13_3_13,so,1,
5184000,P_13_3_13,sw,0,
5184000,P_3_8_13,pressure,19056800,Pa
5184000,P_3_8_13,sg,0,
5184000,P_3_8_13,so,1,
5184000,P_3_8_13,sw,0,
5184000,P_8_8_13,pressure,19062800,Pa
5184000,P_8_8_13,sg,0,
5184000,P_8_8_13,so,1,
5184000,P_8_8_13,sw,0,
5184000,P_13_8_13,pressure,19043200,Pa
5184000,P_13_8_13,sg,0,
5184000,P_13_8_13,so,1,
5184000,P_13_8_13,sw,0,
5184000,P_3_13_13,pressure,19065800,Pa
5184000,P_3_13_13,sg,0,
5184000,P_3_13_13,so,1,
5184000,P_3_13_13,sw,0,
5184000,P_8_13_13,pressure,19056800,Pa
5184000,P_8_13_13,sg,0,
5184000,P_8_13_13,so,1,
5184000,P_8_13_13,sw,0,
5184000,P_13_13_13,pressure,19003800,Pa
5184000,P_13_13_13,sg,0,
5184000,P_13_13_13,so,1,
5184000,P_13_13_13,sw,0,
7776000,P_3_3_15,pressure,19003200,Pa
7776000,P_3_3_15,sg,0,
7776000,P_3_3_15,so,1,
7776000,P_3_3_15,sw,0,
7776000,P_8_3_15,pressure,19031300,Pa
7776000,P_8_3_15,sg,0,
7776000,P_8_3_15,so,1,
7776000,P_8_3_15,sw,0,
7776000,P_13_3_15,pressure,19002300,Pa
7776000,P_13_3_15,sg,0,
7776000,P_13_3_15,so,1,
7776000,P_13_3_15,sw,0,
7776000,P_3_8_15,pressure,19044800,Pa
7776000,P_3_8_15,sg,0,
7776000,P_3_8_15,so,1,
7776000,P_3_8_15,sw,0,
7776000,P_8_8_15,pressure,19042700,Pa
7776000,P_8_8_15,sg,0,
7776000,P_8_8_15,so,1,
7776000,P_8_8_15,sw,0,
7776000,P_13_8_15,pressure,19031300,Pa
7776000,P_13_8_15,sg,0,
7776000,P_13_8_15,so,1,
7776000,P_13_8_15,sw,0,
7776000,P_3_13_15,pressure,19055100,Pa
7776000,P_3_13_15,sg,0,
7776000,P_3_13_15,so,1,
7776000,P_3_13_15,sw,0,
7776000,P_8_13_15,pressure,19044800,Pa
7776000,P_8_13_15,sg,0,
7776000,P_8_13_15,so,1,
7776000,P_8_13_15,sw,0,
7776000,P_13_13_15,pressure,19003200,Pa
7776000,P_13_13_15,sg,0,
7776000,P_13_13_15,so,1,
7776000,P_13_13_15,sw,0,
7776000,P_3_3_14,pressure,19003400,Pa
7776000,P_3_3_14,sg,0,
7776000,P_3_3_14,so,1,
7776000,P_3_3_14,sw,0,
7776000,P_8_3_14,pressure,19035100,Pa
7776000,P_8_3_14,sg,0,
7776000,P_8_3_14,so,1,
7776000,P_8_3_14,sw,0,
7776000,P_13_3_14,pressure,19002500,Pa
7776000,P_13_3_14,sg,0,
7776000,P_13_3_14,so,1,
7776000,P_13_3_14,sw,0,
7776000,P_3_8_14,pressure,19048700,Pa
7776000,P_3_8_14,sg,0,
7776000,P_3_8_14,so,1,
7776000,P_3_8_14,sw,0,
7776000,P_8_8_14,pressure,19048400,Pa
7776000,P_8_8_14,sg,0,
7776000,P_8_8_14,so,1,
7776000,P_8_8_14,sw,0,
7776000,P_13_8_14,pressure,19035100,Pa
7776000,P_13_8_14,sg,0,
7776000,P_13_8_14,so,1,
7776000,P_13_8_14,sw,0,
7776000,P_3_13_14,pressure,19058700,Pa
7776000,P_3_13_14,sg,0,
7776000,P_3_13_14,so,1,
7776000,P_3_13_14,sw,0,
7776000,P_8_13_14,pressure,19048700,Pa
7776000,P_8_13_14,sg,0,
7776000,P_8_13_14,so,1,
7776000,P_8_13_14,sw,0,
7776000,P_13_13_14,pressure,19003400,Pa
7776000,P_13_13_14,sg,0,
7776000,P_13_13_14,so,1,
7776000,P_13_13_14,sw,0,
7776000,P_3_3_13,pressure,19003800,Pa
7776000,P_3_3_13,sg,0,
7776000,P_3_3_13,so,1,
7776000,P_3_3_13,sw,0,
7776000,P_8_3_13,pressure,19043200,Pa
7776000,P_8_3_13,sg,0,
7776000,P_8_3_13,so,1,
7776000,P_8_3_13,sw,0,
7776000,P_13_3_13,pressure,19003000,Pa
7776000,P_13_3_13,sg,0,
7776000,P_13_3_13,so,1,
7776000,P_13_3_13,sw,0,
7776000,P_3_8_13,pressure,19056800,Pa
7776000,P_3_8_13,sg,0,
7776000,P_3_8_13,so,1,
7776000,P_3_8_13,sw,0,
7776000,P_8_8_13,pressure,19062800,Pa
7776000,P_8_8_13,sg,0,
7776000,P_8_8_13,so,1,
7776000,P_8_8_13,sw,0,
7776000,P_13_8_13,pressure,19043200,Pa
7776000,P_13_8_13,sg,0,
7776000,P_13_8_13,so,1,
7776000,P_13_8_13,sw,0,
7776000,P_3_13_13,pressure,19065800,Pa
7776000,P_3_13_13,sg,0,
7776000,P_3_13_13,so,1,
7776000,P_3_13_13,sw,0,
7776000,P_8_13_13,pressure,19056800,Pa
7776000,P_8_13_13,sg,0,
7776000,P_8_13_13,so,1,
7776000,P_8_13_13,sw,0,
7776000,P_13_13_13,pressure,19003800,Pa
7776000,P_13_13_13,sg,0,
7776000,P_13_13_13,so,1,
