well,kind,seq,i,j,k,x_m,y_m,z_m,cell
INJ,injector,0,7,7,14,0.15,0.15,0.29,3262
INJ,injector,1,7,7,13,0.15,0.15,0.27,3037
INJ,injector,2,7,7,12,0.15,0.15,0.25,2812
INJ,injector,3,7,7,11,0.15,0.15,0.23,2587
INJ,injector,4,7,7,10,0.15,0.15,0.21,2362
INJ,injector,5,7,7,9,0.15,0.15,0.19,2137
INJ,injector,6,7,7,8,0.15,0.15,0.17,1912
INJ,injector,7,7,7,7,0.15,0.15,0.15,1687
INJ,injector,8,7,7,6,0.15,0.15,0.13,1462
INJ,injector,9,7,7,5,0.15,0.15,0.11,1237
INJ,injector,10,7,7,4,0.15,0.15,0.09,1012
PROD1,producer,0,2,12,14,0.05,0.25,0.29,3332
PROD1,producer,1,2,12,13,0.05,0.25,0.27,3107
PROD1,producer,2,2,12,12,0.05,0.25,0.25,2882
PROD1,producer,3,2,12,11,0.05,0.25,0.23,2657
PROD1,producer,4,2,12,10,0.05,0.25,0.21,2432
PROD2,producer,0,12,12,14,0.25,0.25,0.29,3342
PROD2,producer,1,12,12,13,0.25,0.25,0.27,3117
PROD2,producer,2,12,12,12,0.25,0.25,0.25,2892
PROD2,producer,3,12,12,11,0.25,0.25,0.23,2667
PROD2,producer,4,12,12,10,0.25,0.25,0.21,2442
PROD2,producer,5,12,12,9,0.25,0.25,0.19,2217
PROD2,producer,6,12,12,8,0.25,0.25,0.17,1992
PROD2,producer,7,12,12,7,0.25,0.25,0.15,1767
PROD2,producer,8,12,12,6,0.25,0.25,0.13,1542
PROD2,producer,9,12,12,5,0.25,0.25,0.11,1317
PROD2,producer,10,12,12,4,0.25,0.25,0.09,1092
PROD2,producer,11,12,12,3,0.25,0.25,0.07,867
PROD2,producer,12,12,12,2,0.25,0.25,0.05,642
PROD2,producer,13,12,12,1,0.25,0.25,0.03,417
PROD2,producer,14,12,12,0,0.25,0.25,0.01,192
PROD3,producer,0,2,2,14,0.05,0.05,0.29,3182
PROD3,producer,1,2,2,13,0.05,0.05,0.27,2957
PROD3,producer,2,2,2,12,0.05,0.05,0.25,2732
PROD3,producer,3,2,2,11,0.05,0.05,0.23,2507
PROD3,producer,4,2,2,10,0.05,0.05,0.21,2282
PROD3,producer,5,2,2,9,0.05,0.05,0.19,2057
PROD3,producer,6,2,2,8,0.05,0.05,0.17,1832
PROD3,producer,7,2,2,7,0.05,0.05,0.15,1607
PROD3,producer,8,2,2,6,0.05,0.05,0.13,1382
PROD3,producer,9,2,2,5,0.05,0.05,0.11,1157
PROD3,producer,10,2,2,4,0.05,0.05,0.09,932
PROD3,producer,11,2,2,3,0.05,0.05,0.07,707
PROD3,producer,12,2,2,2,0.05,0.05,0.05,482
PROD3,producer,13,2,2,1,0.05,0.05,0.03,257
PROD3,producer,14,2,2,0,0.05,0.05,0.01,32
PROD4,producer,0,12,2,4,0.25,0.05,0.09,942
PROD4,producer,1,12,2,3,0.25,0.05,0.07,717
PROD4,producer,2,12,2,2,0.25,0.05,0.05,492
PROD4,producer,3,12,2,1,0.25,0.05,0.03,267
PROD4,producer,4,12,2,0,0.25,0.05,0.01,42
