time_s,well,pw_pa,q_m3s,qw_m3s,qo_m3s,qg_m3s
2592000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
2592000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
2592000,PROD2,19000000,-3.20949074e-08,0,-3.11168981e-08,-9.778125e-10
2592000,PROD3,19000000,-3.20949074e-08,0,-3.11168981e-08,-9.778125e-10
2592000,PROD4,19000000,-7.44953704e-09,0,-6.57372685e-09,-8.75810185e-10
5184000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
5184000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
5184000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
5184000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
5184000,PROD4,19000000,-7.45208333e-09,0,-7.45208333e-09,0
7776000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
7776000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
7776000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
7776000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
7776000,PROD4,19000000,-7.45243056e-09,0,-7.45243056e-09,0
10368000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
10368000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
10368000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
10368000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
10368000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
12960000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
12960000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
12960000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
12960000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
12960000,PROD4,19000000,-7.4525463e-09,0,-7.4525463e-09,0
15552000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
15552000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
15552000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
15552000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
15552000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
18144000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
18144000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
18144000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
18144000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
18144000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
20736000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
20736000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
20736000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
20736000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
20736000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
23328000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
23328000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
23328000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
23328000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
23328000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
25920000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
25920000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
25920000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
25920000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
25920000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
28512000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
28512000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
28512000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
28512000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
28512000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
31104000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
31104000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
31104000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
31104000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
31104000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
33696000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
33696000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
33696000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
33696000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
33696000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
36288000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
36288000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
36288000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
36288000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
36288000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
38880000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
38880000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
38880000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
38880000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
38880000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
41472000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
41472000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
41472000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
41472000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
41472000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
44064000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
44064000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
44064000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
44064000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
44064000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
46656000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
46656000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
46656000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
46656000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
46656000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
49248000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
49248000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
49248000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
49248000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
49248000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
51840000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
51840000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
51840000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
51840000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
51840000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
54432000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
54432000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
54432000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
54432000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
54432000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
57024000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
57024000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
57024000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
57024000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
57024000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
59616000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
59616000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
59616000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
59616000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
59616000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
62208000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
62208000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
62208000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
62208000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
62208000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
